worker, file, time 
6, 68, 74.81246614456177 
7, 26, 28.39498782157898 
16, 76, 87.98390340805054 
3, 8, 15.420763492584229 
18, 54, 67.41320824623108 
8, 2, 7.219120264053345 
15, 76, 84.58042192459106 
5, 68, 77.51972651481628 
8, 78, 81.22401332855225 
31, 18, 19.21727204322815 
30, 54, 76.91781401634216 
11, 28, 35.151238679885864 
32, 40, 52.44207048416138 
16, 70, 83.22330403327942 
2, 70, 163.42525339126587 
2, 42, 97.87193465232849 
3, 38, 55.194854497909546 
21, 62, 82.87752056121826 
20, 42, 44.52302956581116 
21, 68, 111.05907082557678 
24, 42, 45.77357864379883 
30, 12, 16.123406171798706 
12, 56, 76.16796731948853 
2, 78, 186.83935284614563 
29, 40, 74.4940037727356 
9, 6, 12.556379318237305 
30, 46, 74.90398001670837 
12, 70, 80.70375394821167 
28, 78, 130.74482607841492 
23, 6, 5.700103521347046 
11, 62, 68.84872627258301 
9, 46, 49.30784225463867 
3, 40, 73.01193118095398 
32, 2, 2.9666061401367188 
11, 60, 65.71195006370544 
1, 68, 313.72188329696655 
4, 26, 24.76930856704712 
6, 18, 14.597753763198853 
27, 64, 106.79089736938477 
9, 30, 36.65887928009033 
30, 58, 100.7555341720581 
18, 8, 10.630934000015259 
25, 46, 78.35247993469238 
16, 32, 34.74764561653137 
21, 56, 62.589606046676636 
1, 14, 68.59749674797058 
27, 24, 26.64185881614685 
19, 10, 14.178695917129517 
24, 26, 27.78083109855652 
14, 18, 12.872334241867065 
23, 42, 51.34042429924011 
23, 70, 116.25321984291077 
22, 30, 42.27553462982178 
14, 8, 9.17034649848938 
15, 60, 69.42037582397461 
5, 22, 21.451032400131226 
19, 42, 57.46770668029785 
9, 24, 24.14553928375244 
5, 50, 56.37042450904846 
12, 46, 47.75635075569153 
30, 24, 32.249595642089844 
3, 58, 102.74151396751404 
12, 36, 34.01354169845581 
20, 62, 72.41827297210693 
32, 36, 56.08729791641235 
29, 12, 9.975836753845215 
3, 2, 16.12319850921631 
24, 16, 16.825801372528076 
11, 14, 13.352009534835815 
3, 6, 9.97398567199707 
9, 66, 69.52985692024231 
7, 10, 9.200563430786133 
16, 22, 26.796056509017944 
29, 78, 136.09988975524902 
28, 6, 7.295372009277344 
7, 30, 28.593764305114746 
10, 56, 64.21474003791809 
27, 34, 42.57239842414856 
28, 30, 29.89099383354187 
26, 40, 49.72715353965759 
16, 44, 56.733113527297974 
13, 60, 76.67699670791626 
31, 70, 133.29588890075684 
23, 24, 28.506282091140747 
23, 66, 102.02268981933594 
26, 8, 13.528362512588501 
2, 4, 10.250816583633423 
32, 70, 116.89852571487427 
8, 10, 12.498524904251099 
25, 28, 28.22475242614746 
29, 68, 131.69986176490784 
1, 6, 20.403507947921753 
8, 14, 19.55841040611267 
19, 20, 24.014076471328735 
5, 32, 32.521279096603394 
12, 8, 6.930136203765869 
14, 46, 47.351853370666504 
3, 18, 25.564354181289673 
2, 76, 176.59501385688782 
32, 6, 8.50746488571167 
1, 50, 222.20868492126465 
14, 76, 84.84341645240784 
26, 32, 45.51912307739258 
16, 36, 35.563820362091064 
6, 28, 32.572131633758545 
12, 64, 66.96955823898315 
26, 24, 25.541003465652466 
18, 76, 93.76132416725159 
24, 64, 102.3238639831543 
8, 18, 16.44766092300415 
22, 74, 127.4381217956543 
19, 58, 73.48698711395264 
29, 6, 7.1472930908203125 
29, 4, 6.0894293785095215 
24, 36, 49.81925964355469 
32, 20, 17.63669776916504 
20, 70, 95.8240692615509 
10, 6, 8.269051551818848 
25, 24, 22.952066898345947 
7, 70, 77.92309308052063 
8, 74, 77.89241170883179 
8, 50, 54.81876516342163 
13, 46, 60.114912271499634 
24, 12, 17.11098313331604 
18, 2, 4.994627952575684 
23, 40, 53.63015937805176 
30, 34, 49.72006607055664 
24, 34, 41.111512899398804 
1, 8, 23.27503252029419 
3, 62, 98.5974326133728 
3, 20, 32.553277015686035 
24, 62, 94.12214756011963 
8, 76, 80.87362766265869 
15, 70, 88.63073873519897 
28, 72, 123.42894434928894 
13, 38, 35.235490798950195 
10, 42, 48.391446352005005 
8, 32, 39.35055756568909 
13, 34, 36.87177634239197 
31, 48, 92.71102261543274 
22, 76, 133.65106868743896 
11, 10, 11.893045902252197 
12, 2, 7.313023328781128 
21, 42, 45.248247146606445 
5, 30, 32.482131481170654 
8, 12, 17.082793951034546 
22, 44, 59.88883996009827 
21, 16, 20.069591283798218 
7, 60, 61.76695537567139 
15, 26, 25.602678775787354 
9, 26, 28.764288663864136 
32, 64, 112.21771693229675 
23, 10, 9.525931119918823 
16, 62, 69.10492396354675 
7, 66, 73.58843946456909 
8, 70, 76.13416194915771 
31, 54, 91.14461493492126 
17, 32, 42.875330209732056 
13, 32, 31.709097623825073 
20, 36, 46.807766914367676 
13, 30, 28.36728811264038 
